,Date,Team,Opponent,Transfers - Home,Transfers - Away,Season,Shots - Home,SoT% - Home,G/SoT - Home,Avg. Distance of Shots - Home,FK Shots - Home,PK - Home,SoT Against - Home,Save% - Home,Clean Sheet - Home,PK Allowed - Home,# Defensive Actions OPA - Home,Live Passes - Home,Passes Completed - Home,Passes Under Pressure - Home,Ground Passes - Home,High Passes - Home,Shot-Creating Actions - Home,Presses (Applied) - Home,Successful Dribbles - Home,Red Cards - Home,Yellow Cards - Home,Fouls - Home,Own Goals - Home,Aerial Battles Won (%) - Home,GF - Home,GA - Home,Possession - Home,Shots - Away,SoT% - Away,G/SoT - Away,Avg. Distance of Shots - Away,FK Shots - Away,PK - Away,SoT Against - Away,Save% - Away,Clean Sheet - Away,PK Allowed - Away,# Defensive Actions OPA - Away,Live Passes - Away,Passes Completed - Away,Passes Under Pressure - Away,Ground Passes - Away,High Passes - Away,Shot-Creating Actions - Away,Presses (Applied) - Away,Successful Dribbles - Away,Red Cards - Away,Yellow Cards - Away,Fouls - Away,Own Goals - Away,Aerial Battles Won (%) - Away,GF - Away,GA - Away,Possession - Away,Home Team,Away Team,Hour,Day of Week,Month,Output
66,2018-09-01,Brighton and Hove Albion,Fulham,78.41,103.5,18_19,5.666666666666667,24.433333333333334,0.3333333333333333,17.2,1.0,0.3333333333333333,5.0,65.83333333333333,0.0,0.3333333333333333,0.0,328.0,260.3333333333333,60.666666666666664,196.33333333333334,108.66666666666667,10.666666666666666,172.66666666666666,60.666666666666664,0.0,1.3333333333333333,18.333333333333332,0.0,47.03333333333333,1.0,1.6666666666666667,37.666666666666664,17.0,38.733333333333334,0.22,18.900000000000002,0.3333333333333333,0.0,8.0,51.666666666666664,0.0,0.0,1.3333333333333333,557.0,505.3333333333333,51.666666666666664,436.3333333333333,97.33333333333333,28.0,99.33333333333333,49.86666666666667,0.0,1.0,12.0,0.0,44.93333333333334,1.6666666666666667,2.3333333333333335,56.333333333333336,4,10,15,5,9,0
400,2018-09-01,Manchester City,Newcastle United,70.73,50.76,18_19,22.333333333333332,39.43333333333333,0.2733333333333333,17.933333333333334,1.0,0.0,2.0,50.0,0.3333333333333333,0.0,0.6666666666666666,641.3333333333334,603.6666666666666,91.0,543.0,76.33333333333333,33.333333333333336,107.0,63.56666666666666,0.0,1.3333333333333333,11.333333333333334,0.0,53.699999999999996,3.0,0.6666666666666666,68.33333333333333,10.666666666666666,30.7,0.3333333333333333,18.233333333333334,0.6666666666666666,0.0,2.6666666666666665,38.9,0.3333333333333333,0.3333333333333333,0.6666666666666666,272.3333333333333,220.0,53.0,162.0,110.66666666666667,10.666666666666666,196.0,53.53333333333333,0.3333333333333333,2.3333333333333335,17.333333333333332,0.3333333333333333,53.166666666666664,0.6666666666666666,1.3333333333333333,35.333333333333336,15,16,17,5,9,1
334,2018-09-01,Leicester City,Liverpool,103.1,163.9,18_19,9.0,42.199999999999996,0.3833333333333333,20.333333333333332,0.0,0.0,4.0,86.66666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,448.0,394.3333333333333,69.66666666666667,337.3333333333333,88.0,13.0,157.33333333333334,64.13333333333334,0.3333333333333333,1.3333333333333333,11.0,0.0,55.76666666666667,1.6666666666666667,1.0,48.666666666666664,19.0,38.36666666666667,0.25666666666666665,16.099999999999998,1.3333333333333333,0.3333333333333333,2.0,100.0,1.0,0.0,0.6666666666666666,689.6666666666666,633.3333333333334,72.33333333333333,569.0,89.0,32.333333333333336,158.33333333333334,57.43333333333334,0.0,1.0,12.666666666666666,0.0,47.96666666666667,2.3333333333333335,0.0,65.33333333333333,13,13,12,5,9,0
200,2018-09-01,Crystal Palace,Southampton,9.63,56.03,18_19,9.666666666666666,47.199999999999996,0.17666666666666667,16.633333333333333,0.3333333333333333,0.0,5.333333333333333,80.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,356.6666666666667,314.3333333333333,77.0,258.3333333333333,94.66666666666667,16.333333333333332,131.66666666666666,56.666666666666664,0.3333333333333333,1.6666666666666667,11.333333333333334,0.0,53.9,1.0,1.3333333333333333,42.333333333333336,15.333333333333334,28.066666666666666,0.15,18.3,0.6666666666666666,0.0,6.0,77.13333333333334,0.3333333333333333,0.0,0.6666666666666666,362.3333333333333,307.3333333333333,69.33333333333333,244.33333333333334,114.0,25.0,117.33333333333333,51.53333333333334,0.3333333333333333,2.3333333333333335,16.0,0.0,50.43333333333334,0.6666666666666666,1.3333333333333333,48.0,8,20,15,5,9,0
166,2018-09-01,Chelsea,Bournemouth,180.9,80.19,18_19,16.333333333333332,29.03333333333333,0.31333333333333335,18.233333333333334,1.0,0.6666666666666666,3.3333333333333335,72.23333333333333,0.3333333333333333,0.0,0.6666666666666666,749.3333333333334,707.6666666666666,112.66666666666667,646.6666666666666,71.0,26.0,104.66666666666667,82.0,0.0,0.6666666666666666,11.666666666666666,0.0,53.76666666666667,2.6666666666666665,1.0,68.33333333333333,12.333333333333334,35.4,0.42333333333333334,15.700000000000001,0.0,0.3333333333333333,2.6666666666666665,77.76666666666667,0.3333333333333333,0.3333333333333333,0.0,398.3333333333333,345.0,46.666666666666664,293.0,97.33333333333333,19.333333333333332,94.33333333333333,54.23333333333333,0.3333333333333333,1.0,11.333333333333334,0.0,47.56666666666666,2.0,1.0,51.0,7,2,15,5,9,1
599,2018-09-01,West Ham United,Wolverhampton Wanderers,90.81,97.43,18_19,9.666666666666666,38.300000000000004,0.06666666666666667,18.366666666666664,0.0,0.3333333333333333,8.0,61.86666666666667,0.0,0.0,0.0,388.0,341.6666666666667,65.66666666666667,272.0,95.66666666666667,16.666666666666668,141.0,60.23333333333333,0.0,3.6666666666666665,13.333333333333334,0.3333333333333333,53.0,0.6666666666666666,3.0,45.333333333333336,11.0,24.266666666666666,0.3333333333333333,18.766666666666666,0.3333333333333333,0.0,4.333333333333333,47.76666666666667,0.0,0.0,0.6666666666666666,424.6666666666667,373.3333333333333,65.0,304.3333333333333,97.0,16.333333333333332,137.0,34.300000000000004,0.0,0.6666666666666666,11.666666666666666,0.3333333333333333,52.23333333333333,1.0,1.6666666666666667,48.0,25,25,15,5,9,0
132,2018-09-02,Cardiff City,Arsenal,36.18,69.89,18_19,12.333333333333334,12.866666666666667,0.0,15.066666666666668,0.6666666666666666,0.0,3.0,77.76666666666667,0.6666666666666666,0.0,1.6666666666666667,293.0,212.0,61.0,150.0,131.0,19.666666666666668,149.66666666666666,46.166666666666664,0.0,1.3333333333333333,13.333333333333334,0.0,51.43333333333334,0.0,0.6666666666666666,44.333333333333336,13.666666666666666,44.03333333333333,0.17666666666666667,17.933333333333334,0.3333333333333333,0.0,7.666666666666667,74.7,0.0,0.0,0.3333333333333333,451.0,399.0,61.333333333333336,348.0,81.0,24.333333333333332,192.33333333333334,61.333333333333336,0.0,1.6666666666666667,14.666666666666666,0.0,40.199999999999996,1.6666666666666667,2.0,47.333333333333336,6,0,13,6,9,0
566,2018-09-02,Watford,Tottenham Hotspur,27.09,0.0,18_19,13.666666666666666,43.833333333333336,0.43333333333333335,17.5,0.6666666666666666,0.0,2.0,44.46666666666667,0.3333333333333333,0.0,0.6666666666666666,355.6666666666667,287.6666666666667,68.0,214.66666666666666,128.66666666666666,20.666666666666668,169.66666666666666,48.93333333333334,0.0,2.6666666666666665,15.666666666666666,0.0,48.1,2.3333333333333335,0.6666666666666666,46.333333333333336,16.333333333333332,47.86666666666667,0.3933333333333333,15.1,1.0,0.0,3.3333333333333335,72.23333333333333,0.3333333333333333,0.0,1.3333333333333333,516.0,463.0,69.0,396.6666666666667,104.0,23.666666666666668,150.0,52.666666666666664,0.0,1.6666666666666667,14.0,0.0,42.6,2.6666666666666665,0.6666666666666666,54.333333333333336,23,21,16,6,9,1
99,2018-09-02,Burnley,Manchester United,29.7,74.43,18_19,12.333333333333334,30.133333333333336,0.44333333333333336,15.566666666666668,1.0,0.0,7.0,72.23333333333333,0.3333333333333333,0.0,0.6666666666666666,391.3333333333333,321.0,70.0,236.66666666666666,133.0,17.333333333333332,113.33333333333333,44.699999999999996,0.0,1.0,10.333333333333334,0.0,51.0,1.0,2.3333333333333335,48.666666666666664,13.0,36.4,0.2333333333333333,18.900000000000002,0.3333333333333333,0.6666666666666666,3.6666666666666665,38.333333333333336,0.0,0.3333333333333333,0.6666666666666666,498.3333333333333,446.0,83.33333333333333,348.6666666666667,121.0,22.333333333333332,150.66666666666666,55.36666666666667,0.0,1.6666666666666667,14.666666666666666,0.0,56.166666666666664,1.3333333333333333,2.3333333333333335,56.0,5,15,16,6,9,0
401,2018-09-15,Manchester City,Fulham,70.73,103.5,18_19,24.666666666666668,36.8,0.26,17.8,1.6666666666666667,0.0,1.6666666666666667,33.333333333333336,0.0,0.0,0.6666666666666666,718.3333333333334,686.3333333333334,88.0,625.6666666666666,68.66666666666667,38.333333333333336,111.0,60.6,0.0,0.6666666666666666,7.666666666666667,0.0,51.53333333333333,3.0,1.0,75.33333333333333,15.333333333333334,42.06666666666667,0.35333333333333333,18.433333333333334,0.3333333333333333,0.0,5.666666666666667,47.23333333333333,0.0,0.3333333333333333,0.6666666666666666,509.6666666666667,459.6666666666667,90.33333333333333,397.0,92.33333333333333,26.0,132.0,50.56666666666666,0.0,1.6666666666666667,12.333333333333334,0.0,52.03333333333333,2.3333333333333335,2.3333333333333335,53.666666666666664,15,10,15,5,9,1
